,日期,平均高温,平均低温,平均空气质量指数
0,201101,0℃,-5℃,0
1,201102,8℃,0℃,0
2,201103,14℃,3℃,0
3,201104,23℃,12℃,0
4,201105,26℃,15℃,0
5,201106,31℃,20℃,0
6,201107,32℃,23℃,0
7,201108,29℃,21℃,0
8,201109,21℃,15℃,0
9,201110,19℃,11℃,0
10,201111,12℃,7℃,0
11,201112,5℃,-1℃,0
12,201201,3℃,-3℃,0
13,201202,6℃,-1℃,0
14,201203,13℃,3℃,0
15,201204,23℃,9℃,0
16,201205,27℃,17℃,0
17,201206,32℃,22℃,0
18,201207,32℃,23℃,0
19,201208,31℃,22℃,0
20,201209,25℃,15℃,0
21,201210,20℃,11℃,0
22,201211,11℃,2℃,0
23,201212,5℃,-2℃,0
24,201301,6℃,-3℃,0
25,201302,9℃,0℃,0
26,201303,20℃,7℃,0
27,201304,24℃,11℃,0
28,201305,28℃,17℃,0
29,201306,33℃,21℃,0
30,201307,32℃,24℃,0
31,201308,33℃,23℃,0
32,201309,28℃,18℃,0
33,201310,23℃,12℃,0
34,201311,13℃,4℃,0
35,201312,8℃,-1℃,0
36,201401,8℃,-1℃,0
37,201402,6℃,0℃,0
38,201403,17℃,6℃,0
39,201404,21℃,11℃,0
40,201405,26℃,15℃,0
41,201406,31℃,20℃,0
42,201407,34℃,23℃,0
43,201408,29℃,20℃,0
44,201409,23℃,16℃,0
45,201410,20℃,12℃,0
46,201411,12℃,4℃,0
47,201412,6℃,-2℃,0
48,201501,6℃,-1℃,0
49,201502,9℃,0℃,0
50,201503,15℃,5℃,0
51,201504,21℃,10℃,0
52,201505,27℃,16℃,0
53,201506,29℃,20℃,0
54,201507,33℃,22℃,0
55,201508,31℃,21℃,0
56,201509,25℃,17℃,0
57,201510,20℃,11℃,0
58,201511,12℃,4℃,0
59,201512,7℃,-1℃,0
60,201601,4℃,-3℃,0
61,201602,9℃,0℃,0
62,201603,14℃,6℃,0
63,201604,23℃,12℃,0
64,201605,25℃,16℃,0
65,201606,32℃,21℃,0
66,201607,33℃,23℃,0
67,201608,33℃,23℃,0
68,201609,26℃,17℃,0
69,201610,18℃,11℃,0
70,201611,12℃,4℃,0
71,201612,9℃,0℃,0
72,201701,6℃,0℃,0
73,201702,10℃,0℃,0
74,201703,14℃,4℃,0
75,201704,22℃,10℃,0
76,201705,28℃,16℃,0
77,201706,31℃,20℃,0
78,201707,36℃,24℃,0
79,201708,31℃,21℃,0
80,201709,25℃,16℃,0
81,201710,15℃,9℃,0
82,201711,13℃,4℃,187
83,201712,8℃,-1℃,206
84,201801,3℃,-4℃,193
85,201802,10℃,0℃,137
86,201803,19℃,6℃,154
87,201804,24℃,11℃,92
88,201805,27℃,14℃,60
89,201806,32℃,19℃,52
90,201807,32℃,23℃,52
91,201808,34℃,24℃,60
92,201809,25℃,16℃,43
93,201810,21℃,9℃,70
94,201811,13℃,3℃,218
95,201812,5℃,-2℃,225
96,201901,5℃,-3℃,213
97,201902,8℃,-1℃,182
98,201903,17℃,4℃,220
99,201904,23℃,10℃,95
100,201905,26℃,14℃,136
101,201906,29℃,19℃,55
102,201907,32℃,21℃,60
103,201908,31℃,22℃,61
104,201909,25℃,16℃,50
105,201910,18℃,10℃,123
106,201911,12℃,3℃,137
107,201912,8℃,-1℃,252
108,202001,5℃,-2℃,193
109,202002,11℃,0℃,107
110,202003,18℃,5℃,109
111,202004,22℃,8℃,101
112,202005,30℃,16℃,75
113,202006,30℃,20℃,52
114,202007,30℃,21℃,68
115,202008,29℃,21℃,49
116,202009,26℃,17℃,64
117,202010,16℃,9℃,83
118,202011,12℃,5℃,162
119,202012,4℃,-2℃,155
